epoch,loss,lr,val_loss
0,0.43896806240081787,0.001,0.05896177142858505
1,0.05305841937661171,0.001,0.05137718841433525
2,0.04967781901359558,0.001,0.04640822857618332
3,0.044849272817373276,0.001,0.0392785407602787
4,0.035792093724012375,0.001,0.030440719798207283
5,0.02403663471341133,0.001,0.013945181854069233
6,0.009649914689362049,0.001,0.00734768295660615
7,0.006715747062116861,0.001,0.006328201852738857
8,0.0056647490710020065,0.001,0.005060239695012569
9,0.004770271480083466,0.001,0.004415502771735191
10,0.00393010675907135,0.001,0.0035189727786928415
11,0.003494703909382224,0.001,0.0030666212551295757
12,0.0033781761303544044,0.001,0.00265018199570477
13,0.002023347420617938,0.001,0.0018637663451954722
14,0.001643334748223424,0.001,0.001146384747698903
15,0.00133675301913172,0.001,0.001087463810108602
16,0.0013865019427612424,0.001,0.001784145482815802
17,0.0011001856764778495,0.001,0.000939158839173615
18,0.0009656109614297748,0.001,0.0014310337137430906
19,0.001144205336458981,0.001,0.0006550636608153582
20,0.0008306363597512245,0.001,0.0014086985029280186
21,0.0011527278693392873,0.001,0.0007424213690683246
22,0.0007138997898437083,0.001,0.0005524490843527019
23,0.0009953376138582826,0.001,0.0008384681423194706
24,0.00055439438438043,0.001,0.0006481765303760767
25,0.0006455314578488469,0.001,0.0005966527969576418
26,0.0007677068933844566,0.001,0.0004945932305417955
27,0.0005426628049463034,0.001,0.0007809661910869181
28,0.0006107150111347437,0.001,0.0005502534913830459
29,0.0006896444829180837,0.001,0.00040902523323893547
30,0.0005949451588094234,0.001,0.0004094525647815317
31,0.0005607851198874414,0.001,0.00041754491394385695
32,0.00045819315710105,0.001,0.0010068402625620365
33,0.0005253482377156615,0.001,0.0003054981352761388
34,0.0006218926282599568,0.001,0.0003602687211241573
35,0.0004480911011341959,0.001,0.0005960825947113335
36,0.00047598572564311326,0.001,0.0005654047708958387
37,0.0004981948295608163,0.001,0.0005975294043309987
38,0.0004407391825225204,0.001,0.0004525910480879247
39,0.0004213005304336548,0.001,0.0002581817389000207
40,0.0004424100334290415,0.001,0.0003274881455581635
41,0.0003315535723231733,0.001,0.00023510371102020144
42,0.00016921444330364466,0.0005,0.00016421233885921538
43,0.00016259610129054636,0.0005,0.0001703528396319598
44,0.0001570007298141718,0.0005,0.00015754520427435637
45,0.00015423168952111155,0.0005,0.0001586714934092015
46,0.0001532868336653337,0.0005,0.00015436603280249983
47,0.00014909502351656556,0.0005,0.00015566981164738536
48,0.0001447063550585881,0.0005,0.0001501696096966043
49,0.00014164911408443004,0.0005,0.00014286006626207381
50,0.0001421456690877676,0.0005,0.0001356464927084744
51,0.00012633550795726478,0.00025,0.0001244473096448928
52,0.00012414698721840978,0.00025,0.0001261866418644786
53,0.0001226770255016163,0.00025,0.00012252519081812352
54,0.00011951103806495667,0.00025,0.00012144296488258988
55,0.00011820522922789678,0.00025,0.00012012957449769601
56,0.0001170563991763629,0.00025,0.00011859505320899189
57,0.00011509784235386178,0.00025,0.00011354750313330442
58,0.0001128933799918741,0.00025,0.00011708398960763589
59,0.00010744774044724181,0.000125,0.00010860097245313227
60,0.0001066451077349484,0.000125,0.00010712099901866168
61,0.00010501500219106674,0.000125,0.00010815556743182242
62,0.00010448236571392044,0.000125,0.00010733653471106663
63,0.00010455627489136532,0.000125,0.00010669756738934666
64,0.00010330257646273822,0.000125,0.0001037198890116997
65,0.00010201201075688004,0.000125,0.00010161151294596493
66,0.00010148109868168831,0.000125,0.00010679784463718534
67,9.787139424588531e-05,6.25e-05,9.914964175550267e-05
68,9.666810365160927e-05,6.25e-05,9.814929944695905e-05
69,9.609989501768723e-05,6.25e-05,9.738044172991067e-05
70,9.54212955548428e-05,6.25e-05,9.950796811608598e-05
71,9.52463160501793e-05,6.25e-05,9.629987471271306e-05
72,9.437768312636763e-05,6.25e-05,9.62707563303411e-05
73,9.368249448016286e-05,6.25e-05,9.716820932226256e-05
74,9.343744022771716e-05,6.25e-05,9.499583393335342e-05
75,9.131790284300223e-05,3.125e-05,9.308056905865669e-05
76,9.108685480896384e-05,3.125e-05,9.305930871050805e-05
77,9.05343476915732e-05,3.125e-05,9.190394484903663e-05
78,9.042548481374979e-05,3.125e-05,9.167439566226676e-05
79,8.979444828582928e-05,3.125e-05,9.166364907287061e-05
80,8.961740968516096e-05,3.125e-05,9.026576299220324e-05
81,8.922809502109885e-05,3.125e-05,9.067742939805612e-05
